filename,char_count
"I've received a damaged, missing or incorrect item - What should I do_ – Help Centre.md",2569
"I have a Rewards For Life card, but I can't sign in online – Help Centre.md",886
How do I add my rewards card to my Apple or Android wallet_ – Help Centre.md,504
Same Day Click and Collect – Help Centre.md,1226
"I forgot to add my discount code to my order, what can I do_ – Help Centre.md",519
"The item I want to order online is out of stock, what can I do_ – Help Centre.md",863
How do I use a store credit note_voucher_ – Help Centre.md,694
"I've received an email about an order I don't recognise, what should I do_ – Help Centre.md",668
Can I contact a Holland & Barrett store directly_ – Help Centre.md,1614
How to locate a product Best Before End and Batch Number – Help Centre.md,301
Where is my order_ – Help Centre.md,1245
How to order by phone – Help Centre.md,1286
"Rewards for Life, Ireland Terms & Conditions – Help Centre.md",2353
Rewards for Life Member Pricing FAQs – Help Centre.md,2554
"I want to add an item to my order, how do I do this_ – Help Centre.md",378
What do I do if I lose or break my reward card_ – Help Centre.md,1383
How do I check stock in store_ – Help Centre.md,548
How do I find all current promotional offers_ – Help Centre.md,1809
Can I exchange a product_ – Help Centre.md,1668
Late Order Resolution – Help Centre.md,524
"My parcel has been returned to the sender, what happens now_ – Help Centre.md",662
How do I make a complaint to Holland and Barrett_ – Help Centre.md,1576
Refunds In-Store – Help Centre.md,921
My Rewards for Life card isn't showing on my online account – Help Centre.md,661
How do I apply my Rewards For Life voucher to my online order_ – Help Centre.md,1369
Why Has My Honey Crystallised_ – Help Centre.md,1048
How do I leave a review for an item I've purchased_ – Help Centre.md,670
"I've purchased online or in store and my points haven't been added, what do I do_ – Help Centre.md",745
"I live in Ireland, why are you now shipping my orders from the UK_ – Help Centre.md",284
Where is my order_ - Delayed – Help Centre.md,1912
Store locator and opening hours – Help Centre.md,505
"My Rewards for Life voucher has expired, what do I do_ – Help Centre.md",887
Can I make changes to my order_ – Help Centre.md,1206
Click & Collect - Ireland – Help Centre.md,402
Can someone else pick up my Click & Collect order for me_ – Help Centre.md,336
What is your returns policy_ – Help Centre.md,1152
How do I join Rewards for Life_ – Help Centre.md,2285
Paying with Clearpay – Help Centre.md,4453
Are dogs allowed in Holland & Barrett stores_ – Help Centre.md,577
Home delivery options - UK – Help Centre.md,511
What do you do with my loyalty account data_ – Help Centre.md,1095
How do I close my Rewards For Life account_ – Help Centre.md,381
How can I spend my rewards_ – Help Centre.md,1933
How do I update my Rewards For Life card account details_ – Help Centre.md,919
"I live in Europe, why can’t I order from you anymore_ – Help Centre.md",493
"Work for us_ there's a problem with my application, what do I do_ – Help Centre.md",340
Why have my Rewards For Life points disappeared_ – Help Centre.md,743
"I live in Ireland, why have you had to cancel part of my order_ – Help Centre.md",385
"I live in Ireland, how much of this product am I able to order in one go, and how frequently am I allowed to place an order_ – Help Centre.md",445
